,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G74,537.0,245.0,1729.0,378.0,76.0,214.9,220.0,223.0,368.0,879.0,563.0,259.0,9605.0,280.0,1435.0,3349.97,411.0,4757.0,53.0,15160.0,2144.0,15543.89,11912.0,18924.0
G75,8.0,17.0,74.0,2.0,25.0,34.0,53.0,7.22,3.0,2.0,7.0,4.0,3.0,12.0,1.0,5.0,37.0,60.0,871.0,1.5,86.0,19.0,893.0,1745.0
G76,299.0,369.0,186.0,25.0,163.0,181.0,115.0,123.0,73.0,219.0,201.0,202.0,268.0,211.0,304.0,150.0,157.0,226.0,222.0,462.0,615.0,306.0,204.0,475.0
G77,33.0,126.0,88.07,7.0,156.0,169.0,149.0,26.0,34.0,32.0,46.0,182.0,1.0,9.0,19.0,22.04,5.0,9.0,6.0,6.0,40.0,5.93,12.0,28.09
G78,356.0,364.0,344.0,135.0,436.0,417.0,350.0,55.0,177.0,66.0,105.0,132.0,34.0,89.0,81.0,49.0,53.0,435.0,123.0,54.0,50.0,208.0,71.0,144.0
G79,11684.1,8298.0,6262.54,7941.0,6757.15,8151.0,14292.54,706.0,4057.46,1113.0,4736.01,2665.0,1357.0,207.0,20922.0,687.94,436.0,3075.0,465.0,3.89,4.0,544.0,27074.95,99.0
G80,481.2,211.83,537.58,117.84,118.97,146.0,235.82,119.98,399.89,264.98,325.0,455.97,718.0,240.0,312.96,294.0,16.0,288.0,8.58,127.0,820.0,327.99,528.0,124.0
G81,451.0,2009.0,2953.0,1485.0,1611.0,15171.0,4097.0,1399.0,1365.0,5659.0,1960.0,3473.0,4482.0,1892.0,8473.0,3728.0,2892.0,20911.0,4218.0,5542.0,11285.0,8722.0,6145.0,7086.0
G82,1999.0,1765.0,586.0,344.0,762.0,725.0,1179.0,1740.0,1024.0,5097.0,1918.0,2239.0,2255.0,679.0,1719.0,624.0,1273.0,2196.0,1107.0,870.0,11436.0,2229.0,1126.0,5583.0
G83,59.0,216.0,138.0,218.0,46.0,149.0,192.0,42.0,131.0,38.0,67.0,31.0,5.0,4.0,8.8,36.0,1.84,29.0,4.99,1.0,19.0,82.0,12.0,1.31
G84,80.0,83.0,150.0,40.0,59.0,140.0,244.0,10.0,21.0,51.0,15.0,27.0,3.0,1.0,2.0,7.0,3.0,44.0,47.0,6.4,7.76,2.0,449.0,9.5
G85,865.94,674.12,528.1,135.65,392.42,308.49,727.77,143.49,103.19,192.72,204.15,211.64,582.34,181.5,493.09,756.59,336.19,300.34,1022.84,1427.96,332.11,166.0,1383.36,887.6
G86,486.0,54.0,210.0,69.0,21.0,16.0,75.0,5.0,35.0,83.0,21.0,84.0,2647.0,2.0,143.0,123.0,132.0,65.0,326.0,65.0,161.0,232.0,152.0,206.0
G87,43.0,55.0,112.0,6.28,23.0,189.0,26.0,167.0,22.0,15.0,14.0,9.0,9.82,4.8,3.6,4.4,4.06,1.82,2.88,8.8,4.22,1.15,3.0,4.91
G88,387.96,234.0,431.99,15.0,269.95,64.72,201.0,32.0,61.0,52.0,53.0,40.0,24.0,34.0,112.0,39.0,37.0,43.0,32.0,63.0,79.0,3.0,284.0,125.0
G89,1180.41,1704.69,752.35,195.1,1045.47,1082.67,910.08,488.78,423.66,530.85,697.91,739.03,791.0,672.96,1025.0,1060.98,1529.0,1180.79,1039.0,1016.0,1818.73,771.17,1530.0,2280.38
G90,1375.0,3049.0,2803.0,1029.0,1412.0,2376.0,2120.0,1959.0,823.0,647.0,953.0,1159.0,1743.0,1127.0,4331.0,4371.0,1187.0,4085.0,4261.0,4711.0,4707.0,1023.0,2241.0,1408.0
G91,100.0,65.0,105.0,97.0,104.0,93.0,58.0,18.0,17.0,14.0,25.0,20.0,11.0,123.0,94.0,224.0,139.0,104.0,8.43,63.0,15.0,16.0,76.0,288.0
G92,802.0,662.0,1442.0,534.0,847.0,1122.99,1699.99,353.0,1090.0,315.0,925.0,1203.0,603.0,342.44,2020.0,267.55,419.0,382.0,1206.0,822.57,2544.0,150.57,2630.0,391.48
G93,4.43,6.39,4.11,3.0,1.0,3.03,7.45,6.31,6.04,1.0,8.52,5.51,8.96,1.0,5.77,6.38,8.37,1.7,2.86,1.61,3.16,7.52,5.08,2.36
G94,4.2,2.0,2.0,27.0,2.0,4.42,8.36,1.0,3.0,8.14,2.0,4.0,1.23,2.13,9.81,7.0,5.82,3.53,3.62,2.27,2.38,6.56,4.31,4.82
G95,13.0,66.0,91.0,14.0,19.0,23.0,68.0,6.0,5.0,1.0,5.0,8.0,2.0,1.0,3.07,2.39,6.63,4.57,5.05,4.0,4.49,9.1,3.25,9.75
G96,1422.0,938.0,713.0,92.0,486.0,505.0,552.0,1294.0,565.0,1015.0,912.0,1084.0,863.0,344.0,584.0,525.0,307.0,811.0,115.0,969.0,1418.0,560.0,1026.0,589.0
G97,882.0,581.93,1148.0,949.0,4408.0,3034.0,6132.0,427.0,1966.85,1029.24,1775.08,2737.0,49.0,9.8,489.81,6.98,20.71,7.46,9.8,6.07,1.49,1.0,2535.41,6.73
G98,195.0,727.0,85.0,55.0,380.0,368.0,453.0,372.0,650.0,394.0,175.0,195.0,59.0,22.0,7.8,57.0,1.0,9.52,5.32,3.0,4.18,4.73,9.8,5.79
G99,1781.0,1736.0,1944.0,118.0,705.0,798.0,1020.91,2578.0,461.0,2396.0,1163.0,694.0,3723.0,2297.0,6727.7,1897.84,2123.0,1248.0,4498.0,8078.0,11909.0,3636.0,2308.0,2988.0
G100,74.0,159.0,1279.0,442.0,1165.0,113.0,919.0,51.0,808.0,2691.0,401.0,939.0,198.0,356.0,7448.0,149.0,84.0,3.0,3.83,1.0,9.26,299.0,4211.0,773.0
G101,161.0,106.0,215.0,40.0,214.0,243.0,87.0,68.0,50.0,76.0,127.0,82.0,112.0,129.0,216.0,321.0,110.0,674.0,78.0,450.0,115.0,135.0,477.0,881.0
G102,1.0,26.0,7.0,22.0,21.0,7.0,20.0,5.94,5.0,3.0,2.0,3.0,1.0,7.0,7.76,3.47,1.2,1.0,7.15,4.41,5.39,1.0,12.0,5.04
G103,6.99,6.59,22.0,7.0,4.47,12.0,4.0,6.88,2.0,40.0,15.0,2.94,9.31,4.0,8.81,5.74,2.0,16.0,19.0,48.0,278.0,231.0,158.0,2.89
G104,4.01,3.87,9.03,5.49,3.93,6.97,8.94,1.93,7.28,1.32,9.89,3.99,5.35,7.02,1.6,2.62,7.8,1.92,6.24,4.58,5.48,8.29,8.8,1.64
G105,7525.0,9123.0,17096.0,1348.0,14389.0,6616.99,6074.0,9075.99,6009.0,15822.97,5018.79,7796.0,5344.86,2035.0,5560.0,2551.0,7116.97,7009.0,3069.0,3785.0,3337.0,2690.0,4988.0,2120.0
G106,2152.0,1468.0,2080.0,653.0,1669.0,1518.0,2005.0,394.0,368.0,465.0,533.0,877.0,435.0,678.0,1652.0,847.0,226.0,503.0,825.0,1089.0,336.0,1865.0,1319.0,1377.0
G107,3.0,8.04,6.0,2.76,6.02,2.0,25.0,4.68,3.16,1.0,5.27,1.0,28.0,7.82,3.71,9.0,3.96,3.72,89.0,8.21,8.88,9.12,32.0,2.93
G108,38.0,82.0,48.0,84.0,31.0,85.0,79.0,28.0,58.0,31.0,53.0,56.0,498.0,53.0,196.0,827.0,74.0,141.0,280.0,20.0,399.0,2.94,407.0,168.0
G109,67.0,281.0,251.0,24.0,87.0,301.0,82.0,228.0,131.0,179.0,96.0,167.0,256.0,592.0,806.0,194.0,337.0,534.0,282.0,1006.0,1221.0,288.0,811.0,472.0
G110,5.0,3.0,386.0,2.0,7.0,69.0,39.0,8.0,22.0,3.0,45.0,5.18,1.19,3.34,8.69,5.78,6.9,1.73,9.96,1.35,4.87,9.87,9.6,8.78
G111,353.0,47.0,607.0,41.0,14.0,5.0,38.0,13.0,1.0,8.0,142.0,2.0,266.0,17.0,96.0,36.0,34.0,4.0,2.58,2.0,40.0,35.0,203.0,6.53
G112,3114.0,1807.72,2010.49,556.0,1540.47,8142.45,2076.79,559.22,438.0,479.46,976.0,796.51,1048.4,1055.78,1917.76,1079.61,790.0,4849.82,1127.69,1579.38,1113.52,1431.0,2855.08,3190.0
G113,71.79,231.51,97.7,108.68,106.16,194.95,58.99,73.33,36.47,108.69,154.52,69.22,162.81,61.0,109.0,122.0,44.16,129.0,75.0,90.0,224.0,256.0,40.9,242.56
G114,762.0,383.0,875.0,218.0,372.0,654.93,1697.94,28.0,321.0,327.0,115.0,452.0,229.0,2617.0,1608.0,845.0,86.0,1209.0,2078.0,87.0,3032.0,982.0,1170.0,2205.0
G115,606.0,2180.0,67.0,220.0,104.0,562.0,134.0,138.0,104.0,110.0,220.0,97.0,688.0,225.0,1926.0,987.0,1047.0,594.0,543.0,820.0,1433.0,969.0,1489.0,841.0
G116,7.0,12.0,31.0,9.0,18.0,46.0,45.0,2.0,5.0,1.0,2.0,1.0,2.94,6.12,4.32,2.76,1.44,3.46,21.0,1.83,7.88,5.23,1.0,4.88
G117,144.97,284.32,210.27,149.63,395.0,585.49,983.45,29.0,141.0,109.76,106.0,362.72,34.0,12.0,4488.93,22.0,12.0,35.0,2.09,8.76,11.0,5.67,306.34,1.88
G118,128.0,589.0,157.0,48.0,154.0,205.0,125.0,115.0,62.0,73.0,94.0,106.0,190.0,828.0,435.0,273.0,773.0,263.0,345.0,716.0,1139.0,670.0,696.0,567.0
G119,40.0,35.0,65.0,61.0,27.0,48.0,38.0,4.0,2.0,2.0,3.0,6.3,5.0,13.0,57.0,13.0,3.0,7.0,10.0,161.0,6.0,199.0,221.0,84.0
G120,107.0,67.0,183.0,10.0,98.0,98.0,57.0,15.0,10.0,9.0,6.0,10.0,46.0,81.0,29.0,208.0,62.0,190.0,19.0,9.0,27.0,2.0,139.0,7.74
G121,157.0,340.0,220.0,68.0,52.0,218.0,127.0,101.0,55.0,81.0,108.0,100.0,464.0,393.0,679.0,387.0,229.0,214.0,300.0,302.0,889.0,279.0,354.0,435.0
G122,28.0,1269.0,34.0,125.0,38.0,26.0,74.0,22.0,29.0,37.0,151.0,19.0,5.0,28.0,641.0,120.0,6.0,48.0,76.0,241.0,78.0,95.0,240.0,2.28
G123,412.0,419.0,219.0,106.0,117.0,190.0,169.0,140.0,112.0,145.0,162.0,222.0,345.0,400.0,206.0,238.0,258.0,187.0,278.0,247.0,466.0,222.0,245.0,633.0
G124,704.0,33.0,397.0,40.0,10.0,13.0,21.0,4.0,41.0,34.0,115.0,20.0,507.0,44.0,689.0,335.0,50.0,110.0,123.0,2.46,5.0,1.0,270.0,27.0
G125,283.46,485.0,241.0,104.43,452.0,429.0,202.0,252.34,55.0,166.0,96.63,445.0,77.0,436.0,93.0,32.0,357.0,199.0,142.0,750.0,8.0,245.0,303.0,540.0
G126,1522.97,993.0,887.0,241.0,494.0,1851.9,729.92,608.0,1078.98,360.0,421.0,401.58,1181.0,675.0,1418.0,710.81,466.0,799.24,410.0,1039.0,1739.0,1520.88,2007.0,1740.0
G127,51.0,46.0,131.0,41.0,26.0,85.0,55.0,10.0,15.0,7.0,16.0,22.0,22.0,6.0,100.0,5.04,2.0,7.59,9.22,8.31,12.0,177.0,88.0,55.0
